,initial_static_margin [calibers],frontal_surface_wind [m/s],lateral_surface_wind [m/s],out_rail_vel [m/s],out_rail_stability [calibers],out_rail_angle_of_attack [deg],out_rail_thrust_to_weight [ratio],burn_out_dynamic_pressure [Pa],burn_out_time [s],burn_out_accel [m/s²],apogee_alt [m],apogee_time [s],max_speed [m/s],max_speed_time [s],max_mach [-],max_mach_time [s],max_dynamic_pressure [Pa],max_dynamic_pressure_time [s],max_acceleration_power_on [m/s²],max_acceleration_power_on_time [s],max_Gs_power_on [G],max_Gs_power_on_time [s],max_acceleration_power_off [m/s²],max_acceleration_power_off_time [s],max_Gs_power_off [G],max_Gs_power_off_time [s],max_stability_margin [calibers],impact_speed [m/s],impact_time [s],impact_x [m],impact_y [m],impact_lat [°],impact_lon [°],impact_radius [m],inclination_deg,heading_deg,case_key
nom_elev_84deg__North__ERA5_2023_0619_15Z,2.9415879241194456,-2.495401268587165,-3.3986086013324908,29.171638269183433,3.0198499315744542,8.156746535005752,9.473753963843167,46319.312463968265,4.519,32.019258019591696,3413.001485889734,25.82070354560266,315.1174342068879,4.294769356289205,0.9028403043083585,4.300096998507733,47943.52941800977,4.284114071852148,87.54631289897779,1.5113903560945925,8.927239464952638,1.5113903560945925,14.803923851027045,11.284862853789376,1.5095801166582927,11.284862853789376,4.206464041413016,9.065386282845992,167.62657547453878,153.7141605040728,1072.6250835055162,31.056936092987858,-103.52566767532225,1083.5832284161136,84.0,0.0,nom_elev_84deg__North
nom_elev_84deg__North__ERA5_2023_0619_18Z,2.9415781177389717,-1.522072734586591,-3.483223426675167,29.171928717117673,3.0198119050360264,7.395850238015837,9.473751999093347,46013.675149753944,4.519,31.838932028077018,3448.822958529062,25.969237122699877,315.3382705003343,4.298421572657303,0.9006955685155158,4.298421572657303,47619.14600802249,4.280877123371944,87.52634661585708,1.5025555292224226,8.92520347069153,1.5025555292224226,15.21776317657457,10.887541424580098,1.5517799836411588,10.887541424580098,4.206464041413016,8.900993566749532,168.23348416679232,215.89987378006927,1132.3562959974442,31.057473133845466,-103.52501498521568,1152.75475994823,84.0,0.0,nom_elev_84deg__North
nom_elev_84deg__North__ERA5_2024_0616_15Z,2.9415414345490327,0.09726123309035138,-1.3065776545957575,29.172485021997655,3.01975238256981,2.577919482707999,9.473746767584904,45824.901022714395,4.519,31.874462731534148,3507.4265084212293,26.209580776218218,315.42760947544167,4.297652159173067,0.9007821490918819,4.30826464470183,47429.2580096269,4.281733430879921,87.45475050117378,1.5012615528766302,8.91790269879865,1.5012615528766302,25.520005254530364,4.430110997565893,2.6023163113326535,4.430110997565893,4.206464041413016,8.149000926709283,169.8307093195606,190.90820524368678,1032.6323878510734,31.05657650833626,-103.52527730851344,1050.1312257372292,84.0,0.0,nom_elev_84deg__North
nom_elev_84deg__North__ERA5_2024_0616_18Z,2.941565338213927,3.120940077270987,0.5213290699929076,29.172666167670503,3.019716850446744,6.233067732219792,9.473747591390495,45528.85146285244,4.519,31.71257224764443,3559.1181863118063,26.42605832268839,315.425995871444,4.297323245690876,0.89912184448998,4.297323245690876,47117.00293774922,4.279968697032195,87.41810295272931,1.509643269541703,8.914165688867179,1.509643269541703,18.61627265453069,8.489778022881252,1.89833150510426,8.489778022881252,4.206464041413016,8.66427849130297,170.77477253222307,387.239312503861,766.1294094388094,31.054180299323995,-103.52321680289486,858.4337814622173,84.0,0.0,nom_elev_84deg__North
nom_elev_84deg__North__ERA5_2024_0619_15Z,2.941823647181412,4.121294267980535,8.943069534368618,29.169774526584302,3.020032307253165,18.959590554300718,9.473777959174948,47256.28340676112,4.519,32.49471395715354,3348.8699232856025,25.578434507334066,313.1411936987202,4.2927604337044105,0.9118735207288873,4.2927604337044105,48958.15054777065,4.272327418208694,87.54435279025007,1.5225660731222845,8.927039589487753,1.5225660731222845,13.632219502708782,12.453260175478093,1.3900995245786056,12.453260175478093,4.206464041413016,12.68379144786793,166.9227413623102,292.8578748681386,732.7515644224937,31.053880222309704,-103.52420737514993,789.1074641871628,84.0,0.0,nom_elev_84deg__North
nom_elev_84deg__North__ERA5_2024_0619_18Z,2.9418178999512823,4.932677637856674,8.375760509384886,29.169847713241538,3.0200258189366984,18.789831001857287,9.473777110077307,47408.6506722872,4.519,32.6290824963489,3357.7203394156295,25.608935737376648,312.8870737637681,4.2987878739197205,0.9133917714434873,4.2987878739197205,49126.18211774872,4.2817435766752485,87.50290674944128,1.5140707808769482,8.922813269510106,1.5140707808769482,14.528639224489337,11.427583873081124,1.4815088969718853,11.427583873081124,4.206464041413016,12.578337419770335,167.4368840503835,115.70010667445351,831.2919507335218,31.05476624169035,-103.52606668389416,839.3049636686441,84.0,0.0,nom_elev_84deg__North
nom_elev_84deg__East__ERA5_2022_0616_15Z,2.9416249455043433,-4.545474720080994,3.0738250085252874,29.170788312728057,3.019964071696605,10.47387156864532,9.473760228705158,47122.06824398901,4.519,32.285333073068415,3323.543817969621,25.44860353065715,314.4156278567517,4.294804289300182,0.9094113721974989,4.305486961301184,48801.051558639425,4.27878028129868,87.57607172345368,1.524057015898246,8.930274020532362,1.524057015898246,14.477101424606845,11.6009118503418,1.4762535039597462,11.6009118503418,4.206464041413016,9.667640690262655,166.0935679225426,1025.603255458538,167.11411224965164,31.04879409666011,-103.51651758382447,1039.1290411301861,84.0,90.0,nom_elev_84deg__East
nom_elev_84deg__East__ERA5_2022_0616_18Z,2.9418010695371164,-7.819234670467396,5.413344330392948,29.168736273062137,3.020194936639794,17.595728969186435,9.473781798977711,47487.73392169585,4.519,32.20939087836355,3155.725288085991,24.779451295800634,314.03579476950927,4.29000421696245,0.9126822222036348,4.29000421696245,49149.08910873864,4.29000421696245,87.874816480958,1.5673563719665025,8.960737507809293,1.5673563719665025,15.683511224002004,10.4651059065205,1.5992730671536157,10.4651059065205,4.206464041413016,12.457120214861412,160.73361071564173,1014.7478247467812,195.0454106215059,31.049045239776614,-103.51663148039893,1033.3227279184543,84.0,90.0,nom_elev_84deg__East
nom_elev_84deg__East__ERA5_2022_0619_15Z,2.9416226481486785,-4.447053498891889,3.0758121299834253,29.170781954583234,3.019967994705242,10.328728960738387,9.473760045917999,47208.165473868554,4.519,32.3857667115223,3322.093704448379,25.439484238341784,314.30772668721966,4.293536998382825,0.9104320590782972,4.293536998382825,48895.349479564116,4.265640578675331,87.56364526641647,1.5231693150207963,8.92900687456129,1.5231693150207963,13.91001047236242,12.235017077552115,1.418426320136073,12.235017077552115,4.206464041413016,9.61193950648478,166.27226251721535,995.3753144003815,116.96194879040857,31.048343198386352,-103.51683486700948,1002.223584826514,84.0,90.0,nom_elev_84deg__East
nom_elev_84deg__East__ERA5_2022_0619_18Z,2.9417887981086785,-6.518514433128594,6.5385726834876365,29.168851476476082,3.0201901593513854,17.214523010900407,9.473780202781532,47899.97451712683,4.519,32.63366723570633,3164.6992100978678,24.80546830122867,313.54175827186884,4.28776283998065,0.9171972534256206,4.304045070068451,49593.00489376769,4.264619855171489,87.79592713663216,1.5235825898279904,8.952693033465268,1.5235825898279904,14.260050512696976,11.780385786590951,1.4541204705681325,11.780385786590951,4.206464041413016,12.222343590928066,161.58158532567836,849.4234174047638,174.36441417814896,31.04885942530257,-103.51836653529516,867.1349900489985,84.0,90.0,nom_elev_84deg__East
